run_id,mode,round,client_id,train_batches,train_loss,val_batches,val_auroc,val_auprc,val_f1,activation_bytes,gradient_bytes,train_duration_sec,val_duration_sec
20260623_170006,option_b,1,0,200,1.135361199080944,113,0.9490232620006821,0.8302229587048406,0.4051075739023964,1638400,1638400,4.137982599961106,0.9727750000311062
20260623_170006,option_b,1,1,200,0.7170575824379921,74,0.9636142517306819,0.8556656843242019,0.5841526894158473,1638400,1638400,4.019162600045092,0.6002857000567019
20260623_170006,option_b,1,2,200,0.6767341761291027,103,0.9743377483443708,0.8348928017789053,0.5880721220527045,1638400,1638400,4.083168299985118,0.9584573999745771
20260623_170006,option_b,2,0,200,0.6954183907806873,113,0.9429939478327809,0.8166545160907148,0.6326034063260341,1638400,1638400,4.173929400043562,1.0949633999844082
20260623_170006,option_b,2,1,200,0.5417721880972386,74,0.9669597911599355,0.8496964381098967,0.7015250544662309,1638400,1638400,4.357165699999314,0.7747899999958463
20260623_170006,option_b,2,2,200,0.4449270762503147,103,0.9738619179225113,0.8161008470425807,0.6292645943896892,1638400,1638400,4.271384299965575,0.998649800021667
20260623_170006,option_b,3,0,200,0.5711524498462677,113,0.943985826863019,0.8222602162590875,0.6682258603407952,1638400,1638400,4.025329000025522,1.0999595999601297
20260623_170006,option_b,3,1,200,0.4399021717905998,74,0.9669887472268996,0.8482292743948341,0.7085137085137085,1638400,1638400,4.338831300032325,0.6859870000043884
20260623_170006,option_b,3,2,200,0.3724689507484436,103,0.9761367784324974,0.8272329529167444,0.6468285043069695,1638400,1638400,4.406491699977778,0.9502295000129379
20260623_170006,option_b,4,0,200,0.5766270579397679,113,0.9459415669410448,0.8243509086319597,0.6828600752651386,1638400,1638400,4.374588300008327,1.0033468999899924
20260623_170006,option_b,4,1,200,0.4151094648987055,74,0.9671825301365835,0.8517005975632393,0.6924700914848698,1638400,1638400,4.2612814999883994,0.6776283999788575
20260623_170006,option_b,4,2,200,0.339651852697134,103,0.9765372871437428,0.8263684810280743,0.6299093655589124,1638400,1638400,4.137616200023331,0.9603406999958679
20260623_170006,option_b,5,0,200,0.540940589606762,113,0.9468353122802252,0.82618111689883,0.6791171477079796,1638400,1638400,4.287040600029286,1.0403647999628447
20260623_170006,option_b,5,1,200,0.3879960657656193,74,0.9680538850132308,0.8542590903312897,0.7380585516178737,1638400,1638400,4.346233799995389,0.774890200002119
20260623_170006,option_b,5,2,200,0.32204738184809684,103,0.9767596310394976,0.8311122797544331,0.6777685262281432,1638400,1638400,4.290027099952567,1.033977400045842
20260623_170006,option_b,6,0,200,0.5361218494921922,113,0.9469632327657569,0.8275145354349653,0.6634429400386848,1638400,1638400,4.28580679994775,1.091721700038761
20260623_170006,option_b,6,1,200,0.3703265953063965,74,0.9669678097630948,0.8493100607038395,0.7140718562874252,1638400,1638400,4.127129000029527,0.63871480000671
20260623_170006,option_b,6,2,200,0.3090344214439392,103,0.9771413093230895,0.8340705651996847,0.6469673405909798,1638400,1638400,4.096094799984712,0.9553484999923967
20260623_170006,option_b,7,0,200,0.5517184878140688,113,0.9471672829207756,0.8290974408966809,0.6617315738654651,1638400,1638400,4.286316199984867,1.0854894000221975
20260623_170006,option_b,7,1,200,0.3688177900016308,74,0.9682169299441372,0.8542628457939256,0.7005003573981415,1638400,1638400,4.389442500018049,0.6770407999865711
20260623_170006,option_b,7,2,200,0.3153322367370129,103,0.9777493148621323,0.8355747637068002,0.65982636148382,1638400,1638400,4.107750200026203,0.8874125999864191
20260623_170006,option_b,8,0,200,0.549725536480546,113,0.9478569781049373,0.8320265508306213,0.6776359973136333,1638400,1638400,4.201052199990954,0.9827322000055574
20260623_170006,option_b,8,1,200,0.37135347731411456,74,0.968547920063436,0.857681440859913,0.7127272727272728,1638400,1638400,4.007409099955112,0.6898408000124618
20260623_170006,option_b,8,2,200,0.3082744429260492,103,0.9765727752573974,0.8324699727353995,0.6699346405228758,1638400,1638400,4.301227999967523,0.8580297000007704
20260623_170006,option_b,9,0,200,0.5254281302541495,113,0.9484156396944059,0.8328370950778023,0.6781144781144781,1638400,1638400,4.332712600007653,1.0442581999814138
20260623_170006,option_b,9,1,200,0.37310633465647697,74,0.9685942497705787,0.8577936782651586,0.7340425531914894,1638400,1638400,4.006984300038312,0.743116200028453
20260623_170006,option_b,9,2,200,0.30633648078888653,103,0.978392446391221,0.8395851897883393,0.6715092816787732,1638400,1638400,4.120516499970108,0.8873461000039242
20260623_170006,option_b,10,0,200,0.5372459700703621,113,0.9485128536032117,0.8339919722662035,0.6747068676716917,1638400,1638400,3.6981769000412896,0.8856509999604896
20260623_170006,option_b,10,1,200,0.3559722484648228,74,0.969528862516594,0.8595771764056317,0.7229977957384276,1638400,1638400,3.7002414999878965,0.5896435999893583
20260623_170006,option_b,10,2,200,0.3132900857180357,103,0.9774230414906745,0.8355946623862798,0.667739340305712,1638400,1638400,3.7415363999898545,0.8631086999666877
