cell,attacker_clients,n_seeds,attacker_rounds_post_warmup,attacker_rounds_in_warmup_excluded,detection_rate,quarantine_rate,honest_client_rounds,false_positive_rate,mean_snas_attacker,mean_snas_honest
cliponly:E1_gradient_scaling,1,10,80,20,0.0,0.0,160,0.0,0.3646,0.1309
cliponly:E2_free_rider,2,10,80,20,0.0,0.0,160,0.0,0.4235,0.07
cliponly:E4_attack_straggler,1,10,80,20,0.0,0.0,90,0.0,0.3597,0.1685
deltadet:E1_gradient_scaling,1,10,80,20,0.0,0.0,160,0.0,0.4208,0.3061
deltadet:E2_free_rider,2,10,80,20,0.0,0.0,160,0.0,0.5633,0.2105
deltadet:E4_attack_straggler,1,10,80,20,0.0,0.0,90,0.0,nan,nan
gateonly:E1_gradient_scaling,1,10,80,20,1.0,0.5,160,0.0,0.3505,0.1145
gateonly:E2_free_rider,2,10,80,20,1.0,1.0,160,0.0,0.4258,0.0124
gateonly:E4_attack_straggler,1,10,80,20,1.0,0.5375,90,0.0111,0.3507,0.1248
nodetect:E1_gradient_scaling,1,10,80,20,0.0,0.0,160,0.0,0.37,0.1606
nodetect:E2_free_rider,2,10,80,20,0.0,0.0,160,0.0,0.4149,0.051
nodetect:E4_attack_straggler,1,10,80,20,0.0,0.0,90,0.0,0.3909,0.1824
snas:E1_gradient_scaling,1,10,80,20,1.0,0.7125,160,0.0,0.3581,0.0962
snas:E2_free_rider,2,10,80,20,1.0,1.0,160,0.0,0.4208,0.0275
snas:E3_label_flip,1,10,80,20,1.0,0.0,160,0.0,0.2804,0.0278
snas:E4_attack_straggler,1,10,80,20,1.0,0.7125,90,0.0,0.3592,0.1179
snas:E5_backdoor,1,10,80,20,1.0,0.075,160,0.0,0.302,0.0865
