method,condition,client0_share,client1_share,client2_share,normalized_entropy
Krum,"measured, E1/E2/E4 x 10 seeds",1.0,0.0,0.0,0.0
"SNAS (measured, under attack)",clean/E1/E2/E4/E6 x 10 seeds,0.544,0.2808,0.1752,0.7232
SNAS (measured) — clean,"10 seeds, 100 rounds",0.3913,0.2542,0.3544,0.9857
SNAS (measured) — E1_gradient_scaling,"10 seeds, 100 rounds",0.4805,0.0843,0.4352,0.7668
SNAS (measured) — E2_free_rider,"10 seeds, 100 rounds",0.5632,0.3659,0.0709,0.6853
SNAS (measured) — E4_attack_straggler,"10 seeds, 100 rounds",0.8625,0.135,0.0025,0.2489
SNAS (measured) — E6_honest_straggler,"10 seeds, 100 rounds",0.6052,0.3931,0.0016,0.6168
SNAS (measured) — nodetect E1_gradient_scaling,"10 seeds, 100 rounds",0.3913,0.2542,0.3544,0.9857
SNAS (measured) — nodetect E2_free_rider,"10 seeds, 100 rounds",0.3913,0.2542,0.3544,0.9857
SNAS (measured) — nodetect E4_attack_straggler,"10 seeds, 100 rounds",0.6052,0.3931,0.0016,0.6168
SNAS (measured) — nodetect E6_honest_straggler,"10 seeds, 100 rounds",0.6052,0.3931,0.0016,0.6168
"SNAS (analytic, clean all-accepted)",sample-count-proportional weights,0.3913,0.2542,0.3544,0.9857
