cell,aggregator,experiment,client_id,client_name,client_prevalence,n_seeds,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std
snas:clean,snas,clean,0,client0_medical,0.16113,10,0.94757,0.000358,0.832201,0.000728,0.671428,0.005617
snas:clean,snas,clean,1,client1_surgical,0.11502,10,0.968184,0.000255,0.863865,0.000746,0.719614,0.006872
snas:clean,snas,clean,2,client2_cardiac,0.06914,10,0.979682,0.000198,0.846467,0.001508,0.692319,0.008345
snas:E1_gradient_scaling,snas,E1_gradient_scaling,0,client0_medical,0.16113,10,0.939512,0.000423,0.810586,0.000995,0.66083,0.004947
snas:E1_gradient_scaling,snas,E1_gradient_scaling,1,client1_surgical,0.11502,10,0.968647,0.000414,0.866676,0.000611,0.710302,0.008172
snas:E1_gradient_scaling,snas,E1_gradient_scaling,2,client2_cardiac,0.06914,10,0.975766,0.000262,0.829758,0.001052,0.639617,0.009684
snas:E2_free_rider,snas,E2_free_rider,0,client0_medical,0.16113,10,0.883452,0.007935,0.663796,0.027544,0.604262,0.015839
snas:E2_free_rider,snas,E2_free_rider,1,client1_surgical,0.11502,10,0.924745,0.006403,0.702294,0.020379,0.638615,0.029226
snas:E2_free_rider,snas,E2_free_rider,2,client2_cardiac,0.06914,10,0.919902,0.007985,0.650676,0.030581,0.574331,0.03247
snas:E4_attack_straggler,snas,E4_attack_straggler,0,client0_medical,0.16113,10,0.93909,0.000522,0.811151,0.001666,0.663707,0.006775
snas:E4_attack_straggler,snas,E4_attack_straggler,1,client1_surgical,0.11502,10,0.968937,0.000524,0.865971,0.001097,0.69705,0.00733
snas:E4_attack_straggler,snas,E4_attack_straggler,2,client2_cardiac,0.06914,10,0.970529,0.000722,0.812359,0.002251,0.628714,0.009139
snas:E6_honest_straggler,snas,E6_honest_straggler,0,client0_medical,0.16113,10,0.952133,0.000178,0.845127,0.000853,0.680331,0.006822
snas:E6_honest_straggler,snas,E6_honest_straggler,1,client1_surgical,0.11502,10,0.968311,0.000684,0.864933,0.001325,0.708501,0.010499
snas:E6_honest_straggler,snas,E6_honest_straggler,2,client2_cardiac,0.06914,10,0.977303,0.000493,0.83303,0.001651,0.652927,0.009678
snas:E3_label_flip,snas,E3_label_flip,0,client0_medical,0.16113,10,0.925447,0.00152,0.775092,0.005665,0.665062,0.007945
snas:E3_label_flip,snas,E3_label_flip,1,client1_surgical,0.11502,10,0.958153,0.002222,0.814395,0.006128,0.716994,0.011799
snas:E3_label_flip,snas,E3_label_flip,2,client2_cardiac,0.06914,10,0.966958,0.00192,0.789125,0.005113,0.644315,0.015945
snas:E5_backdoor,snas,E5_backdoor,0,client0_medical,0.16113,10,0.728133,0.00609,0.321894,0.009628,0.414301,0.009425
snas:E5_backdoor,snas,E5_backdoor,1,client1_surgical,0.11502,10,0.643302,0.009465,0.22534,0.010167,0.307715,0.007709
snas:E5_backdoor,snas,E5_backdoor,2,client2_cardiac,0.06914,10,0.730835,0.006171,0.190354,0.005863,0.278004,0.023022
krum:E1_gradient_scaling,krum,E1_gradient_scaling,0,client0_medical,0.16113,10,0.95362,0.000479,0.850583,0.000776,0.70037,0.006919
krum:E1_gradient_scaling,krum,E1_gradient_scaling,1,client1_surgical,0.11502,10,0.964874,0.000762,0.855251,0.001502,0.684053,0.012326
krum:E1_gradient_scaling,krum,E1_gradient_scaling,2,client2_cardiac,0.06914,10,0.975326,0.000697,0.821007,0.003372,0.64604,0.011339
krum:E2_free_rider,krum,E2_free_rider,0,client0_medical,0.16113,10,0.953697,0.000489,0.850558,0.000612,0.699998,0.006705
krum:E2_free_rider,krum,E2_free_rider,1,client1_surgical,0.11502,10,0.964859,0.000621,0.855421,0.001475,0.684659,0.008204
krum:E2_free_rider,krum,E2_free_rider,2,client2_cardiac,0.06914,10,0.975576,0.00075,0.82142,0.003242,0.647106,0.008167
krum:E4_attack_straggler,krum,E4_attack_straggler,0,client0_medical,0.16113,10,0.95362,0.000479,0.850583,0.000776,0.70037,0.006919
krum:E4_attack_straggler,krum,E4_attack_straggler,1,client1_surgical,0.11502,10,0.964874,0.000762,0.855251,0.001502,0.684053,0.012326
krum:E4_attack_straggler,krum,E4_attack_straggler,2,client2_cardiac,0.06914,10,0.975326,0.000697,0.821007,0.003372,0.64604,0.011339
trimmed_mean:E1_gradient_scaling,trimmed_mean,E1_gradient_scaling,0,client0_medical,0.16113,10,0.933623,0.000792,0.799629,0.000909,0.671772,0.003752
