sweep_id,experiment,beta,gamma,threshold_flag,threshold_quarantine,clip_ratio,mean_auroc_r8_10,detection_rate,false_positive_rate,round1_auroc_drop
sweep1_beta,E1,0.1,0.9,0.22,0.35,2.0,0.959667,1.0,0.0,0.0071
sweep1_beta,E2,0.1,0.9,0.22,0.35,2.0,0.922833,0.0,0.5385,0.1494
sweep1_beta,E1,0.2,0.8,0.22,0.35,2.0,0.959667,1.0,0.0,0.0071
sweep1_beta,E2,0.2,0.8,0.22,0.35,2.0,0.906267,0.0,0.5385,0.1494
sweep1_beta,E1,0.3,0.7,0.22,0.35,2.0,0.959667,1.0,0.0,0.0071
sweep1_beta,E2,0.3,0.7,0.22,0.35,2.0,0.9107,0.0,0.5385,0.1494
sweep1_beta,E1,0.4,0.6,0.22,0.35,2.0,0.958567,1.0,0.0,0.0071
sweep1_beta,E2,0.4,0.6,0.22,0.35,2.0,0.9107,0.0,0.5385,0.1494
sweep1_beta,E1,0.5,0.5,0.22,0.35,2.0,0.958333,1.0,0.0,0.0071
sweep1_beta,E2,0.5,0.5,0.22,0.35,2.0,0.9107,0.0,0.5385,0.1494
sweep1_beta,E1,0.6,0.4,0.22,0.35,2.0,0.957967,1.0,0.0,0.0071
sweep1_beta,E2,0.6,0.4,0.22,0.35,2.0,0.9107,0.0,0.5385,0.1494
sweep1_beta,E1,0.7,0.3,0.22,0.35,2.0,0.957967,1.0,0.0,0.0071
sweep1_beta,E2,0.7,0.3,0.22,0.35,2.0,0.9107,0.0,0.5385,0.1494
sweep1_beta,E1,0.8,0.2,0.22,0.35,2.0,0.957867,0.8571,0.0,0.0071
sweep1_beta,E2,0.8,0.2,0.22,0.35,2.0,0.9107,0.0,0.5385,0.1494
sweep1_beta,E1,0.9,0.1,0.22,0.35,2.0,0.957367,0.7143,0.0,0.0071
sweep1_beta,E2,0.9,0.1,0.22,0.35,2.0,0.9107,0.0,0.5385,0.1494
sweep2_thresholds,E4,0.35,0.65,0.1,0.25,2.0,0.957833,1.0,0.5,0.008
sweep2_thresholds,E4,0.35,0.65,0.1,0.275,2.0,0.957833,1.0,0.5,0.008
sweep2_thresholds,E4,0.35,0.65,0.1,0.3,2.0,0.957833,1.0,0.5,0.008
sweep2_thresholds,E4,0.35,0.65,0.1,0.325,2.0,0.957833,1.0,0.5,0.008
sweep2_thresholds,E4,0.35,0.65,0.1,0.35,2.0,0.9573,1.0,0.625,0.008
sweep2_thresholds,E4,0.35,0.65,0.1,0.375,2.0,0.9551,1.0,1.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.1,0.4,2.0,0.9551,1.0,1.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.1,0.425,2.0,0.9551,1.0,1.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.1,0.45,2.0,0.9551,1.0,1.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.1,0.475,2.0,0.9551,1.0,1.0,0.008
